tenor,bp_move,tenor_contribution_pct
3M,-10.000000000000009,0.0014000000000000015
2Y,-9.99999999999994,0.003999999999999976
5Y,-10.000000000000009,0.007600000000000008
10Y,-10.000000000000009,0.012400000000000012
30Y,-9.99999999999994,0.015999999999999903
TOTAL,,0.0413999999999999
