scenario,pred_port_return,C_3M,C_2Y,C_5Y,C_10Y,C_30Y
Parallel +50bp,-158.00000000000003,-3.0000000000000004,-12.000000000000002,-27.0,-50.000000000000014,-66.00000000000001
Bear steepener,-221.80000000000004,-1.5000000000000002,-8.400000000000002,-29.700000000000003,-70.00000000000001,-112.20000000000002
Bull flattener,38.2,2.4000000000000004,8.400000000000002,10.8,10.000000000000002,6.600000000000001
